Post_ID,Date_Posted,Reach,Likes,Comments,Shares,Duration_Seconds,Hashtags_Count,Caption_Length,Post_Hour,Total_Engagement,Engagement_Rate,Like_Ratio,Comment_Ratio,Share_Ratio,Year,Month,Day,DayOfWeek,Weekend,Quarter,WeekOfYear,Time_Category,Peak_Hours,Post_Hour_Category,Content_Type,Hashtag_Category,Caption_Category,Reach_Category,Engagement_Category,Comments_Per_Like,Shares_Per_Like,Virality_Score
18,2024-01-19,21672.0,992.0,13.0,36.0,92.0,13,24.0,12,1041.0,0.0480343300110742,0.045773348098929495,0.0005998523440383906,0.0016611295681063123,2024,1,19,4,0,1,3,Morning,1,12:00,Long,Excessive,Medium,High,Medium,0.01310483870967742,0.036290322580645164,0.08568548387096774
19,2024-01-20,16788.0,744.0,23.0,30.0,80.0,6,15.0,18,797.0,0.04747438646652371,0.04431736954967834,0.0013700262091970454,0.0017869907076483202,2024,1,20,5,1,1,3,Afternoon,1,18:00,Long,Moderate,Short,Low,Low,0.030913978494623656,0.04032258064516129,0.11155913978494623
20,2024-01-21,18090.0,854.0,11.0,38.0,57.0,8,64.0,8,903.0,0.04991708126036484,0.04720840243228303,0.0006080707573244887,0.0021006080707573244,2024,1,21,6,1,1,3,Morning,1,,Medium,Many,Long,Low,Medium,0.01288056206088993,0.04449648711943794,0.10187353629976581
21,2024-01-22,22923.0,1020.0,25.0,42.0,108.0,10,10.0,21,1087.0,0.04741962221349736,0.044496793613401385,0.0010906076866029752,0.0018322209134929983,2024,1,22,0,0,1,4,Evening,1,21:00,Long,Many,Short,High,High,0.024509803921568627,0.041176470588235294,0.10686274509803921
22,2024-01-23,24632.0,1100.0,27.0,38.0,111.0,13,63.0,15,1165.0,0.047296200064956155,0.044657356284507954,0.001096135108801559,0.0015427086716466385,2024,1,23,1,0,1,4,Afternoon,1,15:00,Long,Excessive,Long,Very_High,High,0.024545454545454544,0.034545454545454546,0.09363636363636364
23,2024-01-24,18794.0,865.0,13.0,26.0,102.0,10,57.0,20,904.0,0.04810045759284878,0.04602532723209535,0.000691710120251144,0.001383420240502288,2024,1,24,2,0,1,4,Evening,1,20:00,Long,Many,Long,Medium,Medium,0.015028901734104046,0.03005780346820809,0.07514450867052024
24,2024-01-25,13942.0,600.0,24.0,25.0,53.0,9,68.0,20,649.0,0.046549992827427916,0.043035432506096684,0.0017214173002438674,0.001793143021087362,2024,1,25,3,0,1,4,Evening,1,20:00,Medium,Many,Long,Low,Low,0.04,0.041666666666666664,0.12333333333333334
25,2024-01-26,13370.0,600.0,27.0,33.0,30.0,4,48.0,8,660.0,0.0493642483171279,0.04487658937920718,0.002019446522064323,0.002468212415856395,2024,1,26,4,0,1,4,Morning,1,,Short,Moderate,Medium,Low,Low,0.045,0.055,0.155
26,2024-01-27,13120.0,600.0,29.0,19.0,34.0,5,78.0,18,648.0,0.04939024390243903,0.04573170731707317,0.0022103658536585364,0.001448170731707317,2024,1,27,5,1,1,4,Afternoon,1,18:00,Medium,Moderate,Long,Low,Low,0.04833333333333333,0.03166666666666667,0.11166666666666666
27,2024-01-28,23084.0,1067.0,12.0,37.0,81.0,15,73.0,10,1116.0,0.048345174146595046,0.046222491769190785,0.0005198405822214521,0.0016028417951828107,2024,1,28,6,1,1,4,Morning,1,10:00,Long,Excessive,Long,High,High,0.011246485473289597,0.03467666354264293,0.08059981255857544
28,2024-01-29,22614.0,1127.0,10.0,29.0,56.0,14,27.0,8,1166.0,0.051560979923940924,0.0498363845405501,0.0004422039444591846,0.0012823914389316353,2024,1,29,0,0,1,5,Morning,1,,Medium,Excessive,Medium,High,High,0.008873114463176575,0.025732031943212066,0.06033717834960071
29,2024-01-30,29619.0,1612.5,29.0,22.0,22.0,8,74.0,18,1663.5,0.056163273574394816,0.05444140585435025,0.000979101252574361,0.000742766467470205,2024,1,30,1,0,1,5,Afternoon,1,18:00,Short,Many,Long,Very_High,Very_High,0.017984496124031007,0.013643410852713178,0.04527131782945736
30,2024-01-31,20089.0,1055.0,25.0,26.0,48.0,5,57.0,21,1106.0,0.055055005226741005,0.052516302454079344,0.001244462143461596,0.0012942406292000598,2024,1,31,2,0,1,5,Evening,1,21:00,Medium,Moderate,Long,Medium,High,0.023696682464454975,0.024644549763033177,0.07298578199052133
31,2024-02-01,19097.0,955.0,11.0,26.0,61.0,8,59.0,12,992.0,0.05194533172749646,0.050007854636853956,0.0005760067026234487,0.0013614703880190605,2024,2,1,3,0,1,5,Morning,1,12:00,Long,Many,Long,Medium,Medium,0.011518324607329843,0.027225130890052355,0.06596858638743455
32,2024-02-02,20097.0,1041.0,28.0,13.0,99.0,3,23.0,10,1082.0,0.053838881425088324,0.051798775936706974,0.0013932427725531174,0.0006468627158282331,2024,2,2,4,0,1,5,Morning,1,10:00,Long,Few,Medium,Medium,High,0.026897214217098942,0.012487992315081652,0.05187319884726225
33,2024-02-03,16210.0,691.0,12.0,33.0,117.0,6,45.0,22,736.0,0.04540407156076496,0.04262800740283775,0.0007402837754472548,0.0020357803824799505,2024,2,3,5,1,1,5,Evening,1,22:00,Long,Moderate,Medium,Low,Low,0.017366136034732273,0.04775687409551375,0.11287988422575977
34,2024-02-04,19753.0,1061.0,15.0,11.0,81.0,4,71.0,8,1087.0,0.055029615754568925,0.053713359995949984,0.0007593783222801599,0.000556877436338784,2024,2,4,6,1,1,5,Morning,1,,Long,Moderate,Long,Medium,High,0.01413760603204524,0.010367577756833177,0.034872761545711596
35,2024-02-05,20835.0,1028.0,22.0,27.0,66.0,8,24.0,12,1077.0,0.05169186465082793,0.049340052795776336,0.0010559155267578593,0.0012958963282937365,2024,2,5,0,0,1,6,Morning,1,12:00,Long,Many,Medium,Medium,High,0.021400778210116732,0.026264591439688716,0.07392996108949416
36,2024-02-06,22549.0,1136.0,14.0,28.0,48.0,12,58.0,10,1178.0,0.05224178455807353,0.050379174242760213,0.0006208701051044392,0.0012417402102088784,2024,2,6,1,0,1,6,Morning,1,10:00,Medium,Excessive,Long,High,High,0.01232394366197183,0.02464788732394366,0.061619718309859156
37,2024-02-07,14806.0,600.0,18.0,22.0,94.0,11,52.0,18,640.0,0.04322571930298528,0.040524111846548694,0.001215723355396461,0.0014858841010401188,2024,2,7,2,0,1,6,Afternoon,1,18:00,Long,Excessive,Long,Low,Low,0.03,0.03666666666666667,0.10333333333333333
38,2024-02-08,21684.0,1086.0,20.0,20.0,106.0,8,35.0,15,1126.0,0.0519276886183361,0.05008301051466519,0.0009223390518354548,0.0009223390518354548,2024,2,8,3,0,1,6,Afternoon,1,15:00,Long,Many,Medium,High,High,0.01841620626151013,0.01841620626151013,0.055248618784530384
39,2024-02-09,21523.0,1097.0,13.0,23.0,77.0,8,75.0,21,1133.0,0.05264136040514798,0.05096873112484319,0.000604005017887841,0.0010686242624169493,2024,2,9,4,0,1,6,Evening,1,21:00,Long,Many,Long,High,High,0.011850501367365542,0.020966271649954422,0.053783044667274384
40,2024-02-10,19601.0,1052.0,14.0,23.0,24.0,7,78.0,21,1089.0,0.055558389878067445,0.053670731085148714,0.0007142492729962757,0.001173409519922453,2024,2,10,5,1,1,6,Evening,1,21:00,Short,Many,Long,Medium,High,0.013307984790874524,0.021863117870722433,0.057034220532319393
41,2024-02-11,19910.0,1010.0,28.0,23.0,77.0,4,27.0,12,1061.0,0.0532898041185334,0.050728277247614265,0.0014063284781516826,0.0011551983927674536,2024,2,11,6,1,1,6,Morning,1,12:00,Long,Moderate,Medium,Medium,High,0.027722772277227723,0.02277227722772277,0.07326732673267326
42,2024-02-12,21975.0,1071.0,14.0,35.0,63.0,12,29.0,18,1120.0,0.050967007963595,0.048737201365187714,0.0006370875995449374,0.0015927189988623437,2024,2,12,0,0,1,7,Afternoon,1,18:00,Long,Excessive,Medium,High,High,0.013071895424836602,0.032679738562091505,0.0784313725490196
43,2024-02-13,22826.0,1241.0,18.0,22.0,66.0,3,34.0,22,1281.0,0.05612021379129063,0.05436782616314729,0.0007885744326645054,0.0009638131954788399,2024,2,13,1,0,1,7,Evening,1,22:00,Long,Few,Medium,High,Very_High,0.014504431909750202,0.017727639000805803,0.0499597099113618
44,2024-02-14,21911.0,1073.0,14.0,35.0,68.0,10,51.0,22,1122.0,0.051207156222901735,0.048970836566108344,0.0006389484733695404,0.001597371183423851,2024,2,14,2,0,1,7,Evening,1,22:00,Long,Many,Long,High,High,0.0130475302889096,0.032618825722273995,0.0782851817334576
45,2024-02-15,23168.0,1192.0,11.0,25.0,55.0,14,37.0,22,1228.0,0.05300414364640884,0.05145027624309392,0.000474792817679558,0.0010790745856353592,2024,2,15,3,0,1,7,Evening,1,22:00,Medium,Excessive,Medium,High,Very_High,0.009228187919463088,0.02097315436241611,0.051174496644295304
46,2024-02-16,22002.0,1070.0,11.0,32.0,66.0,12,29.0,21,1113.0,0.05058631033542405,0.04863194255067721,0.0004999545495864013,0.00145441323516044,2024,2,16,4,0,1,7,Evening,1,21:00,Long,Excessive,Medium,High,High,0.010280373831775701,0.029906542056074768,0.07009345794392523
47,2024-02-17,18706.0,825.0,27.0,33.0,63.0,11,43.0,20,885.0,0.04731102320111194,0.044103496204426385,0.0014433871485085,0.0017641398481770556,2024,2,17,5,1,1,7,Evening,1,20:00,Long,Excessive,Medium,Medium,Low,0.03272727272727273,0.04,0.11272727272727273
48,2024-02-18,18712.0,827.0,13.0,37.0,102.0,9,67.0,21,877.0,0.0468683197947841,0.0441962377084224,0.0006947413424540402,0.0019773407439076527,2024,2,18,6,1,1,7,Evening,1,21:00,Long,Many,Long,Medium,Low,0.015719467956469165,0.044740024183796856,0.10519951632406288
49,2024-02-19,20051.0,972.0,22.0,31.0,33.0,12,20.0,18,1025.0,0.051119644905491,0.04847638521769488,0.00109720213455688,0.00154605755323924,2024,2,19,0,0,1,8,Afternoon,1,18:00,Medium,Excessive,Short,Medium,Medium,0.02263374485596708,0.03189300411522634,0.08641975308641975
50,2024-02-20,25210.0,1368.0,21.0,14.0,79.0,8,42.0,8,1403.0,0.055652518841729476,0.05426418088060293,0.0008330027766759223,0.0005553351844506148,2024,2,20,1,0,1,8,Morning,1,,Long,Many,Medium,Very_High,Very_High,0.015350877192982455,0.01023391812865497,0.035818713450292396
51,2024-02-21,17402.0,818.0,21.0,33.0,76.0,4,41.0,21,872.0,0.05010918285254568,0.04700609125387886,0.0012067578439259854,0.0018963337547408343,2024,2,21,2,0,1,8,Evening,1,21:00,Long,Moderate,Medium,Low,Low,0.02567237163814181,0.040342298288508556,0.10635696821515893
52,2024-02-22,22159.0,1082.0,28.0,42.0,25.0,9,65.0,21,1152.0,0.051987905591407556,0.04882891827248522,0.0012635949275689336,0.0018953923913534005,2024,2,22,3,0,1,8,Evening,1,21:00,Short,Many,Long,High,High,0.025878003696857672,0.038817005545286505,0.10351201478743069
53,2024-02-23,19797.0,811.0,27.0,35.0,93.0,15,61.0,21,873.0,0.04409759054402182,0.04096580289942921,0.0013638430065161388,0.0017679446380764762,2024,2,23,4,0,1,8,Evening,1,21:00,Long,Excessive,Long,Medium,Low,0.03329223181257707,0.04315659679408138,0.11960542540073983
54,2024-02-24,17053.0,817.0,12.0,35.0,28.0,9,74.0,12,864.0,0.05066557204011025,0.04790945874626165,0.0007036885005570867,0.002052424793291503,2024,2,24,5,1,1,8,Morning,1,12:00,Short,Many,Long,Low,Low,0.014687882496940025,0.042839657282741736,0.1003671970624235
55,2024-02-25,25470.0,1384.0,14.0,31.0,44.0,7,73.0,22,1429.0,0.05610522182960345,0.054338437377306634,0.0005496662740478995,0.0012171181782489203,2024,2,25,6,1,1,8,Evening,1,22:00,Medium,Many,Long,Very_High,Very_High,0.010115606936416185,0.022398843930635837,0.05491329479768786
56,2024-02-26,19723.0,971.0,14.0,33.0,45.0,9,57.0,8,1018.0,0.05161486589261269,0.04923186127871013,0.0007098311615879937,0.0016731734523145567,2024,2,26,0,0,1,9,Morning,1,,Medium,Many,Long,Medium,Medium,0.014418125643666324,0.03398558187435633,0.082389289392379
57,2024-02-27,24966.0,1348.0,11.0,25.0,68.0,6,45.0,22,1384.0,0.05543539213330129,0.0539934310662501,0.0004405992149323079,0.0010013618521188816,2024,2,27,1,0,1,9,Evening,1,22:00,Long,Moderate,Medium,Very_High,Very_High,0.008160237388724036,0.018545994065281898,0.045252225519287835
58,2024-02-28,25789.0,1318.0,13.0,26.0,90.0,14,52.0,12,1357.0,0.05261933382449882,0.05110706115010276,0.0005040908914653535,0.001008181782930707,2024,2,28,2,0,1,9,Morning,1,12:00,Long,Excessive,Long,Very_High,Very_High,0.009863429438543247,0.019726858877086494,0.04931714719271624
59,2024-02-29,19001.0,994.0,27.0,26.0,50.0,3,75.0,15,1047.0,0.05510236303352455,0.05231303615599179,0.0014209778432714068,0.0013683490342613546,2024,2,29,3,0,1,9,Afternoon,1,15:00,Medium,Few,Long,Medium,High,0.02716297786720322,0.026156941649899398,0.079476861167002
60,2024-03-01,24375.0,1163.0,13.0,49.0,59.0,11,79.0,15,1225.0,0.050256410256410255,0.04771282051282051,0.0005333333333333334,0.00201025641025641,2024,3,1,4,0,1,9,Afternoon,1,15:00,Medium,Excessive,Long,Very_High,Very_High,0.01117798796216681,0.04213241616509028,0.09544282029234738
61,2024-03-02,23900.0,1330.0,18.0,10.0,76.0,8,52.0,10,1358.0,0.05682008368200837,0.05564853556485356,0.0007531380753138076,0.00041841004184100416,2024,3,2,5,1,1,9,Morning,1,10:00,Long,Many,Long,Very_High,Very_High,0.013533834586466165,0.007518796992481203,0.02857142857142857
62,2024-03-03,21782.0,989.0,21.0,38.0,90.0,10,59.0,12,1048.0,0.048113120925534845,0.04540446240014691,0.0009640987971719769,0.0017445597282159581,2024,3,3,6,1,1,9,Morning,1,12:00,Long,Many,Long,High,High,0.021233569261880688,0.03842264914054601,0.0980788675429727
63,2024-03-04,22184.0,1120.0,20.0,16.0,81.0,11,50.0,8,1156.0,0.05210962856112514,0.05048683736025965,0.0009015506671474937,0.000721240533717995,2024,3,4,0,0,1,10,Morning,1,,Long,Excessive,Medium,High,High,0.017857142857142856,0.014285714285714285,0.04642857142857143
64,2024-03-05,22744.0,1270.0,19.0,16.0,35.0,7,52.0,8,1305.0,0.05737776996130848,0.055838902567710166,0.0008353851565247978,0.0007034822370735139,2024,3,5,1,0,1,10,Morning,1,,Medium,Many,Long,High,Very_High,0.014960629921259842,0.012598425196850394,0.04015748031496063
65,2024-03-06,24109.0,1226.0,20.0,15.0,104.0,11,65.0,8,1261.0,0.05230411879381144,0.05085237877970882,0.0008295657223443527,0.0006221742917582645,2024,3,6,2,0,1,10,Morning,1,,Long,Excessive,Long,Very_High,Very_High,0.01631321370309951,0.012234910277324634,0.040783034257748776
66,2024-03-07,22671.0,1043.0,29.0,36.0,76.0,12,33.0,22,1108.0,0.04887300957169953,0.0460059106347316,0.0012791672180318468,0.0015879317189360857,2024,3,7,3,0,1,10,Evening,1,22:00,Long,Excessive,Medium,High,High,0.027804410354745925,0.03451581975071908,0.09683604985618409
67,2024-03-08,17277.0,929.0,25.0,21.0,28.0,3,56.0,18,975.0,0.056433408577878104,0.05377090930138334,0.0014470104763558487,0.001215488800138913,2024,3,8,4,0,1,10,Afternoon,1,18:00,Short,Few,Long,Low,Medium,0.02691065662002153,0.022604951560818085,0.0721205597416577
68,2024-03-09,20499.0,909.0,19.0,26.0,102.0,14,70.0,8,954.0,0.04653885555392946,0.04434362651836675,0.0009268744816820333,0.0012683545538806772,2024,3,9,5,1,1,10,Morning,1,,Long,Excessive,Long,Medium,Medium,0.020902090209020903,0.028602860286028604,0.0781078107810781
69,2024-03-10,17551.0,843.0,22.0,21.0,73.0,6,39.0,8,886.0,0.05048145404820238,0.04803145119936186,0.0012534898296393368,0.001196513019201185,2024,3,10,6,1,1,10,Morning,1,,Long,Moderate,Medium,Low,Low,0.02609727164887307,0.02491103202846975,0.07591933570581258
70,2024-03-11,20402.0,1054.0,18.0,31.0,45.0,6,72.0,20,1103.0,0.054063327124791685,0.05166160180374473,0.0008822664444662288,0.0015194588765807273,2024,3,11,0,0,1,11,Evening,1,20:00,Medium,Moderate,Long,Medium,High,0.017077798861480076,0.029411764705882353,0.07590132827324478
71,2024-03-12,22503.0,1195.0,11.0,20.0,36.0,14,80.0,21,1226.0,0.05448162467226592,0.053104030573701284,0.0004888237123939031,0.0008887703861707328,2024,3,12,1,0,1,11,Evening,1,21:00,Medium,Excessive,Long,High,Very_High,0.009205020920502092,0.016736401673640166,0.042677824267782424
72,2024-03-13,25126.0,1245.0,27.0,32.0,50.0,13,34.0,22,1304.0,0.05189843190320783,0.04955026665605349,0.0010745840961553768,0.0012735811509989653,2024,3,13,2,0,1,11,Evening,1,22:00,Medium,Excessive,Medium,Very_High,Very_High,0.021686746987951807,0.02570281124497992,0.07309236947791165
73,2024-03-14,21113.0,993.0,23.0,25.0,88.0,13,12.0,8,1041.0,0.04930611471605172,0.047032633922228013,0.0010893762137071947,0.0011841045801165159,2024,3,14,3,0,1,11,Morning,1,,Long,Excessive,Short,High,Medium,0.023162134944612285,0.025176233635448138,0.07351460221550855
74,2024-03-15,25739.0,1307.0,11.0,38.0,53.0,13,15.0,8,1356.0,0.05268269940557131,0.05077897354209565,0.00042736703057616844,0.001476358832899491,2024,3,15,4,0,1,11,Morning,1,,Medium,Excessive,Short,Very_High,Very_High,0.008416220351951033,0.029074215761285386,0.0665646518745218
75,2024-03-16,19029.0,767.0,21.0,34.0,100.0,14,11.0,10,822.0,0.043197225287718743,0.04030689999474486,0.0011035787482263912,0.0017867465447474907,2024,3,16,5,1,1,11,Morning,1,10:00,Long,Excessive,Short,Medium,Low,0.027379400260756193,0.04432855280312908,0.11603650586701435
76,2024-03-17,21748.0,1035.0,10.0,36.0,106.0,8,34.0,15,1081.0,0.04970572006621299,0.047590583042118814,0.0004598123965422108,0.0016553246275519589,2024,3,17,6,1,1,11,Afternoon,1,15:00,Long,Many,Medium,High,High,0.00966183574879227,0.034782608695652174,0.07922705314009662
77,2024-03-18,18698.0,896.0,15.0,27.0,96.0,7,71.0,22,938.0,0.0501657931329554,0.047919563589688734,0.0008022248368809499,0.0014440047063857097,2024,3,18,0,0,1,12,Evening,1,22:00,Long,Many,Long,Medium,Medium,0.016741071428571428,0.030133928571428572,0.07700892857142858
78,2024-03-19,23241.0,1125.0,26.0,44.0,66.0,8,66.0,12,1195.0,0.051417753108730264,0.04840583451658707,0.001118712619938901,0.001893205972204294,2024,3,19,1,0,1,12,Morning,1,12:00,Long,Many,Long,High,High,0.02311111111111111,0.03911111111111111,0.10133333333333333
79,2024-03-20,21174.0,953.0,19.0,33.0,93.0,14,77.0,21,1005.0,0.04746387078492491,0.045008028714461135,0.0008973269103617644,0.0015585151601020118,2024,3,20,2,0,1,12,Evening,1,21:00,Long,Excessive,Long,High,Medium,0.01993704092339979,0.03462749213011543,0.08919202518363065
80,2024-03-21,17459.0,727.0,29.0,33.0,67.0,11,78.0,8,789.0,0.04519159172919411,0.04164041468583539,0.001661034423506501,0.0018901426198522251,2024,3,21,3,0,1,12,Morning,1,,Long,Excessive,Long,Low,Low,0.039889958734525444,0.0453920220082531,0.13067400275103164
81,2024-03-22,17937.0,726.0,17.0,36.0,119.0,9,24.0,18,779.0,0.04342978201482968,0.04047499581869878,0.0009477616100797235,0.002007024586051179,2024,3,22,4,0,1,12,Afternoon,1,18:00,Long,Many,Medium,Low,Low,0.023415977961432508,0.049586776859504134,0.12258953168044077
82,2024-03-23,30328.0,1612.5,14.0,27.0,103.0,12,26.0,10,1653.5,0.054520575046161965,0.05316868900026378,0.0004616196254286468,0.0008902664204695331,2024,3,23,5,1,1,12,Morning,1,10:00,Long,Excessive,Medium,Very_High,Very_High,0.008682170542635658,0.01674418604651163,0.04217054263565891
83,2024-03-24,15906.0,761.0,14.0,19.0,32.0,12,35.0,10,794.0,0.04991826983528228,0.047843581038601785,0.0008801710046523325,0.0011945177920281655,2024,3,24,6,1,1,12,Morning,1,10:00,Medium,Excessive,Medium,Low,Low,0.018396846254927726,0.024967148488830485,0.0683311432325887
84,2024-03-25,18112.0,702.0,18.0,44.0,90.0,15,18.0,18,764.0,0.042181978798586574,0.03875883392226148,0.000993816254416961,0.002429328621908127,2024,3,25,0,0,1,13,Afternoon,1,18:00,Long,Excessive,Short,Low,Low,0.02564102564102564,0.06267806267806268,0.150997150997151
85,2024-03-26,18525.0,933.0,17.0,28.0,76.0,4,12.0,8,978.0,0.052793522267206475,0.050364372469635627,0.0009176788124156545,0.0015114709851551957,2024,3,26,1,0,1,13,Morning,1,,Long,Moderate,Short,Medium,Medium,0.01822079314040729,0.030010718113612004,0.0782422293676313
86,2024-03-27,23024.0,1098.0,17.0,36.0,103.0,9,55.0,21,1151.0,0.04999131341209173,0.04768936761640028,0.0007383599722029187,0.0015635858234885338,2024,3,27,2,0,1,13,Evening,1,21:00,Long,Many,Long,High,High,0.015482695810564663,0.03278688524590164,0.08105646630236794
87,2024-03-28,19828.0,1050.0,28.0,18.0,63.0,3,47.0,20,1096.0,0.05527536816622958,0.05295541658261045,0.0014121444422029454,0.0009078071414161792,2024,3,28,3,0,1,13,Evening,1,20:00,Long,Few,Medium,Medium,High,0.02666666666666667,0.017142857142857144,0.06095238095238095
88,2024-03-29,20010.0,912.0,25.0,36.0,86.0,7,17.0,20,973.0,0.048625687156421786,0.04557721139430285,0.0012493753123438282,0.0017991004497751124,2024,3,29,4,0,1,13,Evening,1,20:00,Long,Many,Short,Medium,Medium,0.027412280701754384,0.039473684210526314,0.10635964912280702
89,2024-03-30,20612.0,881.0,25.0,39.0,114.0,10,77.0,22,945.0,0.04584707937124005,0.04274209198525131,0.0012128856976518533,0.0018921016883368912,2024,3,30,5,1,1,13,Evening,1,22:00,Long,Many,Long,Medium,Medium,0.028376844494892167,0.04426787741203178,0.11691259931895573
90,2024-03-31,16880.0,698.0,26.0,39.0,41.0,12,80.0,21,763.0,0.04520142180094787,0.04135071090047393,0.0015402843601895735,0.00231042654028436,2024,3,31,6,1,1,13,Evening,1,21:00,Medium,Excessive,Long,Low,Low,0.03724928366762178,0.055873925501432664,0.1489971346704871
